Latitude,Longitude,Date,Maximum Temperature,Minimum Temperature,Temperature,Dew Point,Wind Chill,Heat Index,Precipitation,Precipitation Cover,Snow,Snow Depth,Wind Speed,Wind Gust,Wind Direction,Visibility,Cloud Cover,Relative Humidity,Sea Level Pressure,Solar Radiation,Solar Energy,Weather Type,Info,Conditions
37.467744,-121.842751,2019-09-21,86.2,58.2,71.1,49.1,,83.4,0.0,0.0,0.0,0.0,18.1,25.3,186.5,9.9,5.5,48.97,1013.3,421.2,21.2,,,Clear
37.838333,-120.625556,2019-09-23,88.0,61.9,74.3,52.4,,85.5,0.0,0.0,0.0,0.0,15.1,20.8,317.04,9.9,3.4,48.89,1012.6,385.2,19.4,,,Clear
38.332083,-120.67131,2019-09-25,98.3,63.7,80.0,53.5,,95.5,0.0,0.0,0.0,0.0,5.8,,166.33,9.9,0.0,43.38,1007.8,353.4,19.1,,,Clear
32.87833333,-116.88,2019-09-25,80.2,62.4,70.9,58.7,,81.1,0.0,0.0,0.0,0.0,10.5,19.7,196.92,9.2,30.0,66.36,1010.1,402.6,18.8,"Mist, Smoke Or Haze",,Partially cloudy
41.43783,-120.23976,2019-08-02,87.4,46.5,68.7,34.5,48.1,83.7,0.0,0.0,0.0,0.0,13.3,17.2,122.5,9.9,0.0,33.81,1019.7,496.5,30.4,,,Clear
33.9369,-117.3063,2019-09-07,94.1,64.5,78.6,54.0,,92.0,0.0,0.0,0.0,0.0,15.0,22.8,158.75,9.9,0.0,45.59,1013.8,345.1,21.1,Smoke Or Haze,,Clear
41.150392,-122.634108,2019-09-07,83.0,51.9,65.9,40.6,,80.4,0.0,0.0,0.0,0.0,8.6,27.7,208.08,9.9,3.4,44.04,1016.7,391.3,21.1,,,Clear
44.734,-120.606,2019-09-06,82.4,54.2,68.0,55.0,,81.5,0.01,4.17,0.0,0.0,9.3,16.1,175.0,8.7,13.1,66.78,1018.9,228.5,18.9,Mist,,Rain
36.151,-118.185,2019-09-06,101.0,73.1,86.6,54.2,,98.1,0.0,0.0,0.0,0.0,11.4,17.2,223.5,9.9,5.5,36.49,1015.7,490.3,26.5,,,Clear
41.748,-121.056,2019-09-06,82.5,47.7,65.1,41.9,,80.0,0.0,0.0,0.0,0.0,11.3,24.2,226.88,9.7,7.9,53.27,1020.5,431.1,23.3,"Mist, Fog",,Clear
40.062304,-123.222196,2019-09-05,93.2,57.2,72.2,50.3,,89.3,0.0,0.0,0.0,0.0,6.9,,47.08,9.9,28.8,55.95,1016.3,419.9,22.7,,,Partially cloudy
34.71011,-119.3547,2019-09-01,80.7,65.2,72.1,54.1,,80.9,0.0,0.0,0.0,0.0,9.9,23.0,219.46,8.3,23.8,53.56,1013.3,481.1,24.2,"Mist, Fog, Smoke Or Haze",,Clear
40.593,-120.581,2019-08-28,95.1,59.1,77.3,44.9,,91.2,0.0,0.0,0.0,0.0,16.1,,244.38,9.9,3.0,35.49,1017.3,293.6,23.3,,,Clear
40.562,-120.544,2019-08-24,93.3,55.5,75.5,47.0,,89.7,0.0,0.0,0.0,0.0,16.1,,266.47,9.9,0.0,40.55,1017.8,331.3,25.0,,,Clear
40.886677,-120.336977,2019-08-07,92.9,55.8,74.9,38.9,,88.4,0.0,0.0,0.0,0.0,16.5,25.3,206.61,9.9,9.2,30.58,1016.4,296.3,25.6,,,Clear
37.968494,-121.678172,2019-08-07,85.3,60.1,69.8,53.9,,83.6,0.0,0.0,0.0,0.0,17.6,32.8,246.75,9.8,0.4,60.27,1012.0,288.3,16.6,,,Clear
34.677864,-118.752395,2019-08-03,89.4,65.8,76.8,38.2,,85.4,0.0,0.0,0.0,0.0,17.7,29.8,248.54,9.9,0.0,26.96,1017.6,439.6,22.2,,,Clear
